"","Velo","SpinRate","HorzBreak","InducedVertBreak","Predicted_Hits"
"2222",92.17,2049,10.65,12.18,1
"2223",96.25,2324,16.22,9.29,1
"2224",91.47,2208,18.02,6.67,1
"2225",89.15,2089,9.67,16.07,1
"2226",92.14,2168,17.11,9.22,1
"2227",93.93,2451,8.71,17.63,0
"2228",95.95,2596,2.81,19.32,0
"2229",94.61,2252,13.13,8.51,0
"2230",94.59,2129,3.82,19.06,0
"2231",95.44,2329,10.5,15.18,0
"2232",95.51,2433,6.63,19.2,0
"2233",93.31,2417,13.46,5.92,0
"2234",93.12,2301,4.7,15.5,0
"2235",93.5,2407,1.58,14.15,0
"2236",95.34,2139,8.64,16.7,0
"2237",91.44,2196,9.59,17.94,0
"2238",92.75,2110,13.73,13.44,1
"2239",94.12,2562,10.44,14.55,0
"2240",94.92,2230,9.27,16.35,0
"2241",96.85,2127,13.22,10.52,1
"2242",95.47,2354,4.89,21.71,0
"2243",93.84,2210,10.2,9.15,1
"2244",91.21,2500,5.85,19.27,0
"2245",96.61,2381,7.21,17.68,0
"2246",92.76,2108,3.78,21.97,0
"2247",95.19,2011,10.52,16.93,0
"2248",92.33,2374,7.99,17.6,0
"2249",93.25,2298,13.5,15.84,1
"2250",87.06,1793,15.6,9.31,0
"2251",95.25,2248,4.1,17.61,0
"2252",94.12,1926,7.11,12.79,0
"2253",93.92,2136,13.63,10.17,0
"2254",94.03,2420,9.39,20.84,1
"2255",87.5,1854,12.71,7.68,1
"2256",90.09,2020,10.85,15.26,1
"2257",90.61,2030,4.53,12.43,0
"2258",94.53,2300,14.88,12.92,1
"2259",95.94,2694,8.31,19.83,0
"2260",93.33,1966,13.89,12.48,1
"2261",94.38,2188,3.98,18.64,0
"2262",92.84,2071,13.55,8.3,0
"2263",93.16,1971,5.73,13.27,1
"2264",93.19,2582,6.16,12.44,1
"2265",95.2,1825,9.7,13.66,0
"2266",92.06,2182,-2.58,16.72,0
"2267",94.98,2341,2.82,16.74,0
"2268",95.67,2130,11.73,17.62,0
"2269",88.49,1987,14.22,5,1
"2270",93.41,2199,9.31,13.54,0
"2271",90.25,1990,1.79,18.13,0
"2272",95.45,2287,6.17,13.47,0
"2273",94.23,2343,6.87,15.63,0
"2274",91.87,2165,15.07,11.23,0
"2275",92.13,2344,3.71,17.06,0
"2276",93.87,2050,5.08,14.9,0
"2277",95.29,2301,10.2,15.88,0
"2278",94.56,2124,16.84,9.24,0
"2279",89.27,2155,12.42,8.13,1
"2280",96.96,2299,10.72,14.38,0
"2281",92.21,2404,6.76,6.62,1
"2282",92.8,2968,5.38,19.92,0
"2283",92.06,2124,15.9,9.99,1
"2284",95.38,2408,16.53,11.89,0
"2285",91.62,1917,7.22,15.48,0
"2286",91.84,2338,11.1,12.23,1
"2287",91.75,2079,16.74,6.19,1
"2288",94.65,2382,2.11,15.5,0
"2289",93.51,2312,3.15,18.89,0
"2290",92.34,2257,12.15,8.86,1
"2291",92.8,2174,5.34,16.61,0
"2292",91.94,2186,1.69,15.66,0
"2293",91.36,2077,15.8,7.86,0
"2294",95.97,2606,4.76,18.1,0
"2295",93.01,1997,16.31,11.16,1
"2296",94.39,2170,5.94,18.7,0
"2297",93.64,2109,8.27,18.22,0
"2298",89.03,1954,13.44,9.09,1
"2299",93.31,2252,8.22,15,0
"2300",94.09,2221,6.04,17.43,0
"2301",97.17,2306,14.65,10.95,0
"2302",92.88,2595,10.6,16.56,1
"2303",91.71,2592,7.96,17.24,1
"2304",97.24,2272,11.22,15.08,0
"2305",93.26,2024,7.78,12.69,1
"2306",94.89,2431,1.57,18.87,0
"2307",94.83,2084,17.37,8.74,0
"2308",93.76,2459,-1.74,5.59,1
"2309",93.48,2580,8.35,16.62,0
"2310",90.95,2066,12.55,14.49,0
"2311",92.33,2238,8.4,17.98,0
"2312",92.47,1997,8.7,12.84,1
"2313",95.24,2212,9.68,10.71,0
"2314",94.85,2405,10.58,18.24,1
"2315",96.5,2390,5.39,16.05,0
"2316",97.15,2235,6.3,14.23,0
"2317",92.29,2317,1.97,18.15,0
"2318",91.49,2116,5.77,18.11,1
"2319",96.66,1972,5.46,16.41,0
"2320",96.33,1993,16.03,12.1,1
"2321",95.39,2290,3.21,17.17,0
"2322",92.2,2286,16.68,10.83,0
"2323",96.42,2339,13.86,14.52,0
"2324",95.35,2524,6.32,20.82,0
"2325",95.53,2218,13.5,10.91,1
"2326",93.06,2153,9.23,17.3,0
"2327",95.37,2168,10.41,15.31,0
"2328",96.38,2123,8.74,13.86,0
"2329",96.6,2317,13.74,15.07,0
"2330",98.23,2330,9.28,18.35,0
"2331",99.71,2282,14.1,14.14,0
"2332",90.04,2206,5.51,18.72,1
"2333",96.19,2139,7.8,15.02,0
"2334",94.94,2194,14.68,9.27,1
"2335",90.08,2185,2.62,18.12,0
"2336",91.78,2166,5.22,17.59,0
"2337",93.71,2295,6.16,15.11,0
"2338",95.62,2291,3.05,19.25,0
"2339",94.1,2233,5.36,18.67,0
"2340",97.31,2233,10.68,16.5,0
"2341",99.1,2245,13.08,16.2,0
"2342",91.48,2015,12.8,10.09,0
"2343",89.51,1989,0.82,16.55,0
"2344",93.1,1832,18.55,11.82,1
"2345",92.76,2374,5.66,16.3,0
"2346",92.81,2133,8.79,18.1,0
"2347",91.77,2188,7.32,19.95,0
"2348",91.7,2116,5.87,19.59,0
"2349",92.13,2146,14.86,7.88,1
"2350",94.21,2353,13.41,16.53,1
"2351",92.62,2256,6.37,16.25,1
"2352",96.79,2025,13.96,8.95,0
"2353",91.13,2000,9.69,15.99,0
"2354",97.27,2476,15.18,3.67,0
"2355",91.21,2428,2.41,18.74,1
"2356",96.16,2340,8.59,15.92,0
"2357",94.01,2242,2.87,17.74,0
"2358",94.96,2157,10.05,15.76,0
"2359",92.49,2058,14.61,14.22,0
"2360",97.8,2042,7.8,18.84,0
"2361",94.15,2228,5.08,19.86,0
"2362",97.48,2191,3.53,17.14,0
"2363",92.03,2046,16.39,11.42,0
"2364",98.74,2372,14.66,13.67,1
"2365",93.29,1810,3.88,9.13,0
"2366",95.94,2479,8.06,14.22,0
"2367",95.36,2213,14.74,12.89,1
"2368",92.26,2153,6.72,9.13,0
"2369",94.98,2492,1.48,15.96,0
"2370",91.07,2192,9.04,24.13,0
"2371",93.01,2551,6.84,18.39,0
"2372",92.57,2206,7.43,20.08,0
"2373",93.97,2199,6.33,17.14,1
"2374",90.29,2012,8.33,14.54,1
"2375",94.9,2304,6.61,15.18,0
"2376",93.66,2341,13.92,4.89,1
"2377",88.99,2331,4.52,16.46,1
"2378",95.42,2070,17.93,11.31,0
"2379",96.17,2039,8.57,18.11,0
"2380",95.19,2483,2.5,13.17,0
"2381",91.27,2001,6.26,18.75,0
"2382",92.44,2505,4.17,19.35,0
"2383",96.32,2134,4.56,13.21,0
"2384",89.59,1942,3.86,16.87,1
"2385",96.89,2364,11.42,16.48,0
"2386",92.45,2120,10.76,17.41,0
"2387",95.11,2321,2.98,19.03,0
"2388",96.61,2251,15.72,5.94,0
"2389",95.53,2293,9.77,19.05,0
"2390",95.85,2141,5.22,16.42,1
"2391",96.46,2371,9.11,13.98,1
"2392",97.03,2282,16.58,0.47,0
"2393",96.21,2512,9.31,18.02,0
"2394",90.98,1941,17.14,13.26,1
"2395",92.53,2254,2.73,21.6,1
"2396",88.33,2194,14.92,11.6,1
"2397",92.99,2357,7.58,18.86,0
"2398",90.02,2352,6.77,13.83,0
"2399",96.53,2122,16.71,11.13,0
"2400",92.96,2244,8.86,18.98,0
"2401",95.55,2215,13.25,13.06,0
"2402",95.31,2079,19.5,2.52,0
"2403",94.68,2326,0.49,16.94,0
"2404",98.56,2113,16.62,9.44,1
"2405",88.94,2223,12.88,17.05,1
"2406",95.14,2300,11.83,15.14,0
"2407",96.24,2094,12.88,15.06,0
"2408",98.23,2457,12.89,19.14,0
"2409",88.7,2249,-0.64,18.38,0
"2410",98.49,2115,7.44,16.85,0
"2411",97.08,2574,2.15,19.44,0
"2412",94.48,2018,5.5,11.67,0
"2413",94.17,1785,7.44,13.98,1
"2414",91.21,2384,6.78,16.19,0
"2415",94.63,2107,18.04,5.12,0
"2416",96.05,2059,14.58,3.31,0
"2417",94.42,2430,7.28,13.53,1
"2418",95.27,2158,9.22,16.51,0
"2419",91.88,2079,15.73,6.11,0
"2420",95.82,2246,21.07,10.23,1
"2421",97.53,2326,9.48,16.81,0
"2422",93.37,2617,-2.75,13.77,0
"2423",88.78,2202,0.82,17.34,0
"2424",92.53,2125,17.64,7.29,1
"2425",96.43,2534,12.71,15.07,0
"2426",94.21,1998,4.77,18.56,0
"2427",92.94,2058,14.7,4.62,0
"2428",96.68,2289,9.35,17.32,0
"2429",91.26,2167,1.2,11.76,1
"2430",93.2,2023,11.06,13.39,0
"2431",91.47,2088,3.1,16.63,1
"2432",96.55,2404,6.6,20.83,0
"2433",96.1,2220,14.45,14.11,1
"2434",94.99,2040,8.12,14.53,0
"2435",95.77,2357,7.5,18.63,0
"2436",95.36,2005,18.27,7.65,0
"2437",95.47,2524,10.87,17.6,1
"2438",95.82,2068,7.84,16.1,0
"2439",90.73,2154,19.75,3.67,1
"2440",93.64,2409,2.53,17.45,0
"2441",92.84,2449,9.96,19.32,0
"2442",92.86,2081,15.02,9.03,0
"2443",91.1,2356,2.08,19.64,0
"2444",92.11,2094,6.46,15.36,0
"2445",91.34,2168,9.04,15.96,0
"2446",96.02,2329,15.35,11.27,0
"2447",95.42,2046,3.76,11.53,0
"2448",89.44,2249,-1.07,16.51,0
"2449",96.83,2442,11.48,14.26,1
"2450",96.02,2144,7,13.76,0
"2451",97.77,2340,8.54,16.68,0
"2452",93.94,2400,11.09,17.42,0
"2453",97.05,2298,13.15,11.46,1
"2454",97.04,1997,9.95,15.69,0
"2455",92.79,1958,14.32,4.3,1
"2456",92.42,2086,14.86,7.64,1
"2457",98.12,2483,10.35,18.02,0
"2458",98.13,2301,8.04,15.28,0
"2459",96.39,2379,8.02,15.09,0
"2460",92.63,2116,13.31,10.23,0
"2461",94.73,2576,4.83,15.85,1
"2462",92.77,1982,2.02,8.65,1
"2463",94.22,2385,16.26,12.26,1
"2464",96.36,2458,4.19,18.05,0
"2465",92.61,2575,11.03,15.55,1
"2466",91.5,2246,14.82,11.05,1
"2467",95.81,2288,9.61,16.09,0
"2468",88.98,1978,19.38,7.66,0
"2469",95.9,2290,17.83,14.41,0
"2470",95.99,2066,6.62,17.51,0
"2471",95.12,2213,-1.07,17.82,0
"2472",88.62,2042,20.95,-0.19,1
"2473",92.8,2135,11.26,14.57,0
"2474",91.3,2081,8.64,16.23,0
"2475",96.9,2361,9.22,15.31,0
"2476",95.87,2290,12.54,3.82,1
"2477",93.54,2144,9.75,18.58,0
"2478",96.72,2152,5.53,16.94,1
"2479",92.9,2524,12.19,16.06,0
"2480",95.64,2332,8.31,16.29,0
"2481",94.12,2440,10.45,18.03,0
"2482",98.33,2304,17.13,6.38,1
"2483",91.9,2565,3.77,13.13,1
"2484",97.94,2503,3.18,18.6,0
"2485",93.58,2062,6.04,22.81,0
"2486",95.69,2135,17.66,6.17,0
"2487",95.05,2005,12.75,8.33,1
"2488",91.73,2203,11,14.86,1
"2489",92.01,2178,8.93,18.46,0
"2490",92.89,2229,16.4,16.38,0
"2491",91.41,1972,12.58,12.71,0
"2492",92.2,2432,12.43,15.05,1
"2493",96.34,2252,5.22,18.41,0
"2494",96.85,2002,15,7.7,1
"2495",93.67,2174,6.73,13.89,0
"2496",93.23,2189,9.97,16.77,0
"2497",95.5,1894,4.96,16.41,0
"2498",94.95,2260,15.7,13.46,0
"2499",96.12,2274,10.51,12.88,0
"2500",94.75,2133,7.72,14.76,0
"2501",92.63,2215,7.09,18.97,1
"2502",100.38,2508,15.69,14.49,0
"2503",91.73,2405,5.91,12.81,1
"2504",88.42,2145,1.73,18.26,1
"2505",93.49,2315,9.58,17.1,0
"2506",92.4,2201,9.72,12.4,1
"2507",95.21,2245,2,15.73,0
"2508",95.68,2408,11.48,18.77,0
"2509",96.6,2391,16.93,4.17,0
"2510",94.01,2393,7.82,19.06,0
"2511",93.6,2105,18.33,3.96,0
"2512",94.29,2299,-0.07,10.8,0
"2513",97.01,2318,11.42,15.37,0
"2514",93.72,2006,6.27,16.46,0
"2515",93.76,2372,18.5,11.26,0
"2516",92.79,2179,16.31,10.41,0
"2517",96.08,2452,6.88,19.21,0
"2518",93.77,1810,18.68,-1.75,0
"2519",93.49,2310,11.15,4.98,0
"2520",95.87,2443,-1.24,18.73,0
"2521",94.85,2033,11.56,13.69,0
"2522",96.15,2486,9.74,18.12,0
"2523",92.77,2445,4.69,17.51,0
"2524",91.93,2240,14.69,14.48,1
"2525",94.34,2192,-1.77,5.62,1
"2526",89.71,1936,10.78,5.35,0
"2527",92.74,1918,8.37,9.93,0
"2528",98.7,2101,11.1,15.73,0
"2529",96.89,2359,7.17,17.65,0
"2530",94.54,2333,2.89,15.35,0
"2531",93.3,2266,1.32,16.78,0
"2532",95.91,2341,7.39,16.8,0
"2533",95.7,2393,14.26,7.63,0
"2534",94.39,1944,14.36,11.03,1
"2535",97.55,2255,9.88,16.03,0
"2536",93.35,2125,3.67,12.33,1
"2537",94.58,1976,14.83,10.19,0
"2538",93.91,2095,17.48,8.04,1
"2539",93.15,2217,8.27,14.15,1
"2540",91.57,2141,11.83,15.07,0
"2541",92.91,1957,14.46,10.31,1
"2542",94.34,2015,11.05,15.07,0
"2543",97.34,2312,8.05,14.86,0
"2544",93.93,2534,4.01,11.54,1
"2545",93.67,2063,16.71,1.96,0
"2546",94.39,2224,3.32,15.39,1
"2547",96.23,2464,7.12,18.2,0
"2548",93.62,2354,8.66,18.53,0
"2549",96.3,2316,7.37,18.62,0
"2550",93.81,2331,10.22,16.79,1
"2551",93.47,1839,13.37,12.75,1
"2552",91.04,2101,14.15,7.43,1
"2553",97.6,2740,5.46,19.84,0
"2554",94.04,2357,7.42,14.87,1
"2555",91.61,2055,7.84,19.12,1
"2556",92.81,2241,16.75,6.78,1
"2557",96.52,2180,14.32,11.68,1
"2558",84.66,1696,11.89,9.79,0
"2559",92.24,2027,11.85,5.09,0
"2560",93.99,2105,5.47,8.69,1
"2561",93.36,1789,13.1,-4.35,0
"2562",96.11,2395,16.63,11.65,0
"2563",91.86,2160,15.72,5.08,0
"2564",91.81,2181,9.96,16.25,0
"2565",96.06,2364,8.13,16.45,0
"2566",93.9,2368,10.67,17.96,1
"2567",95.72,2125,7.3,17.19,0
"2568",93.95,1937,15.21,9.62,0
"2569",95.6,2063,18.26,9.86,0
"2570",90.5,2360,14.43,13.55,1
"2571",92.83,1925,13.2,12.23,1
"2572",93.51,1818,11.67,4.96,0
"2573",92.52,1818,14.1,-4.14,0
"2574",94.1,2207,18.59,17.29,0
"2575",94.95,2484,11.7,16.82,1
"2576",94.6,2419,3.84,15.01,0
"2577",89.92,2137,2.6,19.98,0
"2578",93.85,2180,14.85,13.92,1
"2579",91.88,2126,10.05,10.98,0
"2580",92.54,1927,15.41,6.5,0
"2581",92.79,2197,10.92,15.93,1
"2582",93.04,2204,4.83,19.45,0
"2583",94.07,2125,13.89,7.02,1
"2584",95.19,2366,13,16.24,0
"2585",93.37,2350,11.06,15.67,1
"2586",95.48,2331,1.66,16.29,0
"2587",92.63,1865,8.8,12.51,1
"2588",94.51,2409,1.72,17.67,0
"2589",94.01,2506,4.84,15.64,0
"2590",95.28,2351,3.56,14.61,1
"2591",90.87,2200,14.14,14.7,0
"2592",98.93,2502,7.88,18.33,0
"2593",91.45,2315,11.66,15.87,0
"2594",95.36,2278,5.46,14.85,0
"2595",87.5,2199,5.24,16.77,1
"2596",94.76,2343,11.44,17.41,0
"2597",94.2,1993,13.92,3.71,1
"2598",89.88,1961,11.23,12.27,0
"2599",93.06,1983,11.67,1.09,1
"2600",92.5,2226,12.84,15.19,0
"2601",91.38,2169,5.41,15.14,1
"2602",96.03,2104,6.64,16.83,0
"2603",94.17,2076,12.8,14.31,0
"2604",95.86,2052,7.61,12.1,0
"2605",91.38,2452,5.78,20.6,1
"2606",98.3,2552,4.85,20.43,0
"2607",88.02,2421,15.44,19.14,0
"2608",93.27,2275,13.05,14.94,0
"2609",95.57,2092,10.83,16.54,0
"2610",94.83,2095,11.56,12.94,0
"2611",94.96,2237,16.34,14.14,1
"2612",92.36,2416,12.45,2.76,1
"2613",95.78,2601,-3.01,10.51,0
"2614",94.31,2245,6.66,20.65,0
"2615",93.38,2131,3.67,18.23,1
"2616",91.6,2243,16.76,12.27,0
"2617",90.03,2218,11.03,14.65,0
"2618",98.21,2116,11.92,13.26,0
"2619",96.78,2365,12.97,14.4,0
"2620",94.56,2398,11.53,14.89,0
"2621",91.95,2433,4.93,19.5,0
"2622",95.02,2088,18.56,4.69,0
"2623",95.66,2442,7.68,15.16,0
"2624",93.94,2215,2.88,14.93,1
"2625",95.2,2531,3.29,19.87,1
"2626",93.68,2492,5.55,17.58,0
"2627",94.77,2192,6.36,18.63,0
"2628",94.36,2517,7.15,20.23,0
"2629",94.49,2401,5.61,19.44,0
"2630",96.42,2170,14.23,7.14,1
"2631",92.72,2419,-0.22,18.52,0
"2632",95.52,2272,13.09,9.81,0
"2633",96.65,2043,17.24,2.99,1
"2634",94.11,2343,7.96,17.49,0
"2635",94.95,2301,10.63,14.29,0
"2636",97.86,2446,5.86,19.49,0
"2637",94.42,2297,10.82,14.4,0
"2638",101.41,2490,8.35,15.57,0
"2639",93.56,2385,0.92,16.56,0
"2640",95.42,2539,5.73,18.34,0
"2641",91.64,1940,13.78,8.79,1
"2642",94.41,2118,7.65,12.77,0
"2643",94.18,2184,12.65,12.89,1
"2644",93.83,2355,5.1,19.39,0
"2645",93.42,2219,10.76,15.44,0
"2646",95.19,2136,10.06,15.81,0
"2647",92.23,2164,6.32,18.29,0
"2648",93.82,2153,8.57,14.78,0
"2649",93.36,1957,16,4.99,0
"2650",91.13,2112,2.92,19.8,0
"2651",95.35,2339,6.4,16.01,0
"2652",94.04,2213,10.86,13.92,0
"2653",97.64,2257,10.41,12.71,0
"2654",92.96,2213,6.25,16.65,0
"2655",94.27,1943,15.86,6.69,0
"2656",93.14,2289,9.43,15.06,0
"2657",95.35,2013,13.36,13.02,0
"2658",95.48,2141,14.23,14.32,1
"2659",94.53,2336,7.8,12.97,0
"2660",92.22,2232,12.75,5.74,0
"2661",95.6,2263,14.95,11.43,1
"2662",95.1,2233,10.76,14,0
"2663",95.39,1956,13.66,-0.63,0
"2664",96.41,2151,19.78,3.46,0
"2665",100.13,2514,9.03,17.95,0
"2666",96.26,2385,6.2,16.31,0
"2667",92.63,2410,0.35,17.98,0
"2668",96.22,2671,7.66,19.06,0
"2669",92.29,2094,10.48,15.73,1
"2670",94.16,2482,2.34,12.72,0
"2671",93.04,2163,15.82,5.1,0
"2672",100.99,2422,7.99,13.76,1
"2673",96.81,2181,13.65,12.94,0
"2674",95.6,2251,15.7,3.54,0
"2675",97.27,2224,3.96,15.44,0
"2676",92.72,2216,10.39,14.12,0
"2677",93.08,2073,11.91,15.81,1
"2678",98.85,2241,17.98,5.6,0
"2679",95.36,2456,8.14,13.4,0
"2680",96.93,2349,15.9,12.64,0
"2681",92.78,2181,14.02,9.19,1
"2682",94.51,2130,14.44,12.03,1
"2683",92.02,2065,5.31,14.49,0
"2684",94.53,2296,6.19,17.45,0
"2685",91.82,2140,6.54,16.35,0
"2686",89.7,2246,11.17,16.43,0
"2687",88.35,2234,4.4,22.82,0
"2688",93.48,2439,8.28,7.49,1
"2689",95.38,2495,4.84,18.95,0
"2690",96.26,2206,2.39,20.87,0
"2691",95.71,2334,4.63,16.75,0
"2692",96.23,2212,16.17,11.85,1
"2693",96.47,2111,12.02,4.72,1
"2694",93.95,2309,4.02,18.41,0
"2695",94.64,2323,12.86,10.11,0
"2696",94.18,2163,6.35,17.09,1
"2697",92.21,2077,15.73,6.27,0
"2698",92.84,2403,6.22,20.13,0
"2699",91.74,2319,12.37,19.55,0
"2700",95.52,2468,10.9,16.56,1
"2701",93.52,2382,7.53,17.92,0
"2702",92.34,2569,7.3,20.57,0
"2703",96.81,2388,1.68,19.65,0
"2704",92.07,2650,6.12,20.04,0
"2705",96.84,2382,6.51,12.39,1
"2706",96.36,2503,13.92,12.7,0
"2707",93.76,2061,8.18,18.91,0
"2708",95.54,2484,8.48,16.11,0
"2709",92.6,2356,5.37,18.9,0
"2710",93.6,2062,0.7,17.49,0
"2711",92.36,2325,6.26,14.86,0
"2712",94.03,2216,10.55,10.85,0
"2713",95.51,2022,5.99,8.48,1
"2714",94.9,1842,4.99,13.63,1
"2715",98.07,2346,-1.06,19.77,1
"2716",98.41,2591,9.1,19.07,0
"2717",96.43,2412,3.16,17.94,0
"2718",94.43,1780,12.87,14.98,1
"2719",93.14,2363,6.86,18.13,0
"2720",93.05,2390,15.36,11.47,0
"2721",95.44,1862,6.98,15.87,0
"2722",92.81,1990,6.82,17.15,0
"2723",96.7,2329,8.06,17.56,0
"2724",94.89,2503,9.93,19.27,0
"2725",93.85,2311,2.88,19.86,0
"2726",94.76,1940,5.01,14.78,1
"2727",97.81,2358,14.78,15.97,1
"2728",95.41,2360,9.64,15.52,0
"2729",92.4,1874,11.4,0.19,0
"2730",90.56,1993,-2.51,17.59,0
"2731",94.56,1988,15,-3.54,0
"2732",94.39,2369,13.89,14.83,1
"2733",94.12,2031,7.13,18.65,0
"2734",95.06,2082,15.59,13.01,0
"2735",95.78,2107,5.77,14.35,0
"2736",93.06,2257,5.48,17.34,0
"2737",92.96,1932,4.94,13.61,0
"2738",91.14,2230,15.66,8.82,0
"2739",94.79,2364,2.97,20.81,0
"2740",95.86,2585,8.87,20.26,0
"2741",93.57,2093,15.33,16.1,0
"2742",96.98,2302,12.55,11.78,0
"2743",91.28,2119,17.22,4.7,1
"2744",97.26,2352,15.98,13.76,0
"2745",92.76,2706,3.31,10.84,1
"2746",94.59,2397,2.65,13.9,0
"2747",93.59,2289,8.96,19.29,0
"2748",97.08,2255,11.92,16.93,0
"2749",97.38,1932,12.45,10.7,1
"2750",93.07,2113,13.14,12.87,0
"2751",94.81,2507,6.85,17.71,0
"2752",93.71,2312,13.69,14.4,1
"2753",91.62,1919,17.17,7.71,0
"2754",89.89,2489,5.31,17.72,0
"2755",93.78,2389,5.58,19.52,0
"2756",94.47,2160,5.22,18.09,0
"2757",97.75,2214,18.53,3.9,0
"2758",93.55,2455,4.81,19.75,0
"2759",93.46,2174,2.22,17.19,0
"2760",89.14,2198,14.34,11.73,1
"2761",94.43,2199,8.65,19.74,0
"2762",93.54,2077,6,4.35,0
"2763",94.79,2266,5.39,19.63,0
"2764",95.4,2231,6.79,16.13,0
"2765",96.26,2379,5.04,18.09,0
"2766",94.49,2217,11.55,16.65,0
"2767",97.81,2376,0.46,16.13,0
"2768",91.6,2329,13.36,16.86,1
"2769",94.19,2307,10.38,16.54,1
"2770",94.04,2196,16.15,6.8,0
"2771",95.69,2335,10.68,13.5,0
"2772",94.57,2110,17.24,10.85,0
"2773",97.4,2483,12.57,17.22,0
"2774",94.44,2327,0.45,19.25,0
"2775",91.72,2469,8.03,18.92,0
"2776",90.88,2035,14.82,8.99,1
"2777",94.37,2217,20.15,6.82,0
"2778",93.6,2162,4.2,18.45,1
"2779",96.58,2603,5.83,12.58,0
"2780",90.18,2354,9.54,12.37,0
"2781",96.18,2097,7.55,16.28,0
"2782",94.83,1972,5.89,14.3,1
"2783",97.18,2223,15.57,14.5,0
"2784",96.86,2107,17.73,10.49,1
"2785",94.19,2351,5.53,16.07,0
"2786",89.35,2350,19.3,11.78,0
"2787",99.18,2395,8.82,17.96,0
"2788",92.05,2397,8.89,16.41,0
"2789",95.86,2286,7.88,16.8,0
"2790",92.57,2148,3.18,20.82,0
"2791",96.93,2205,15.27,4.45,1
"2792",93.4,2406,5.37,15.84,0
"2793",93.84,2016,13.26,4.41,0
"2794",93.03,2555,8.01,20.49,0
"2795",96.74,2327,10.81,17.56,0
"2796",95.73,2046,13.21,11.43,0
"2797",93.87,2684,6.98,21.13,0
"2798",91.64,2326,10.48,12.44,0
"2799",96.64,2134,3.42,18.71,0
"2800",92.01,2079,6.65,15.28,0
"2801",91.72,2348,15.44,16.08,0
"2802",94.84,2263,8.74,15.7,0
"2803",92.19,2059,9.9,12.74,0
"2804",89.69,2515,15.11,18.69,0
"2805",97.92,2212,17.19,2.08,0
"2806",92.51,2484,16.28,16.21,0
"2807",98.56,2328,15.87,7.46,1
"2808",94.47,2262,6.43,20.39,0
"2809",94.39,2123,4.57,13.74,1
"2810",93.48,2194,11.27,15.61,0
"2811",98.12,1983,8.21,15.35,0
"2812",96.17,2133,13.56,13.18,1
"2813",96.89,2267,9.02,12.52,0
"2814",96.66,2122,6.46,18.52,0
"2815",96.23,2313,13.02,15.21,0
"2816",93.32,2086,9.44,18.33,0
"2817",96.45,2315,12.3,13.38,0
"2818",88.97,2255,13.22,20,0
"2819",89.11,2306,15.33,13.01,0
"2820",93.52,2139,9.19,14.76,0
"2821",93.35,2246,11.65,14.32,0
"2822",92.73,2323,6.98,20.05,0
"2823",96.25,2087,19.53,4.52,0
"2824",96.75,2272,16.93,10.34,1
"2825",95.54,2229,1.83,10.03,0
"2826",91.89,2075,15.7,5.06,0
"2827",91.54,2204,4.23,16.4,0
"2828",94.17,2123,14.57,11.06,1
"2829",92.83,2421,15.17,14,0
"2830",94.65,2282,-4.66,6.28,1
"2831",91.51,2133,5.33,19.77,0
"2832",93.87,2054,19.72,4.32,0
"2833",94.3,2670,9.79,17.38,0
"2834",96.25,2248,5.68,15.6,0
"2835",94.21,2443,4.47,17.14,0
"2836",94.14,2295,4.54,18.81,0
"2837",87.7,2085,15.51,11.86,0
"2838",93.14,2161,18.72,13.09,0
"2839",97.5,2548,1.5,20.45,0
"2840",96,2285,10.05,14.44,0
"2841",92.26,2274,5.79,16.62,1
"2842",91.14,1865,11.89,9.39,1
"2843",93.1,2475,10.48,19.16,0
"2844",95.5,2237,10.79,15.53,0
"2845",96.17,2113,13.09,17.08,0
"2846",97.2,2192,15.17,8.77,0
"2847",94.82,2243,12.89,3.43,0
"2848",93.8,2151,11.07,12.91,0
"2849",91.97,2137,0.59,20.71,0
"2850",94.37,1849,0.83,12.54,1
"2851",94.57,2194,9.62,17.16,0
"2852",96.92,2249,13.19,10.96,0
"2853",94.18,2087,14.69,5.74,0
"2854",92.04,2044,13.82,11.82,0
"2855",90.02,1950,14.26,9.67,1
"2856",95.58,2145,4.11,12.87,0
"2857",93.86,2321,8.16,18.02,1
"2858",94.04,2141,13.07,12.5,1
"2859",94.59,2142,15.63,12.34,0
"2860",90.77,1798,6.9,10.41,0
"2861",95.48,2197,4.7,19.67,0
"2862",95,2301,13.19,13.98,0
"2863",93.59,2135,4.98,15.44,0
"2864",93.25,2481,6.21,16.34,0
"2865",91.61,2318,4.09,18.88,0
"2866",94.78,2098,9.95,17.31,0
"2867",95.19,2069,2.2,13.13,0
"2868",94.82,2124,7.16,14.21,0
"2869",92.67,2134,13.65,6.16,1
"2870",92.2,2305,8.05,15.4,0
"2871",96.47,2389,13.77,14.58,0
"2872",92.67,2051,6.89,17.1,1
"2873",91.58,2406,3.87,11.4,1
"2874",96.61,2240,4.98,18.43,0
"2875",95.85,2319,6.83,21.45,0
"2876",93.32,1896,17.85,8.99,1
"2877",96.73,2156,5.28,14.51,0
"2878",92.77,2519,6.9,17.89,0
"2879",94.95,2319,6.22,17.02,0
"2880",92.46,2307,1.63,18.11,0
"2881",93.3,2103,13.03,13.99,1
"2882",90.44,2306,7.46,20.26,1
"2883",93.65,2041,8.25,17.52,0
"2884",92.83,2063,8,15.99,0
"2885",94.74,2146,2.55,19.87,0
"2886",92.84,2056,15.29,10.15,0
